abandoned,-1
abandonment,-1
abandon,-1
abase,-1
abasement,-1
abash,-1
abate,-1
abdicate,-1
aberration,-1
abhor,-1
abhorred,-1
abhorrence,-1
abhorrent,-1
abhorrently,-1
abhors,-1
abidance,1
abide,1
abject,-1
abjectly,-1
abjure,-1
abilities,1
ability,1
able,1
abnormal,-1
abolish,-1
abominable,-1
abominably,-1
abominate,-1
abomination,-1
above,1
aboveaverage,1
abound,1
abrade,-1
abrasive,-1
abrupt,-1
abscond,-1
absence,-1
absentee,-1
absentminded,-1
absolve,1
absurd,-1
absurdity,-1
absurdly,-1
absurdness,-1
abundant,1
abundance,1
abuse,-1
abuse,-1
abuses,-1
abusive,-1
abysmal,-1
abysmally,-1
abyss,-1
accede,1
accept,1
acceptance,1
acceptable,1
accessible,1
accidental,-1
acclaim,1
acclaimed,1
acclamation,1
accolade,1
accolades,1
accommodative,1
accomplish,1
accomplishment,1
accomplishments,1
accord,1
accordance,1
accordantly,1
accost,-1
accountable,-1
accurate,1
accurately,1
accursed,-1
accusation,-1
accusations,-1
accuse,-1
accuses,-1
accusing,-1
accusingly,-1
acerbate,-1
acerbic,-1
acerbically,-1
ache,-1
achievable,1
achieve,1
achievement,1
achievements,1
acknowledge,1
acknowledgement,1
acquit,1
acrid,-1
acridly,-1
acridness,-1
acrimonious,-1
acrimoniously,-1
acrimony,-1
active,1
acumen,1
adamant,-1
adamantly,-1
adaptable,1
adaptability,1
adaptive,1
addict,-1
addiction,-1
adept,1
adeptly,1
adequate,1
adherence,1
adherent,1
adhesion,1
admirable,1
admirer,1
admirably,1
admiration,1
admire,1
admiring,1
admiringly,1
admission,1
admit,1
admittedly,1
admonish,-1
admonisher,-1
admonishingly,-1
admonishment,-1
admonition,-1
adorable,1
adore,1
adored,1
adorer,1
adoring,1
adoringly,1
adrift,-1
adroit,1
adroitly,1
adulate,1
adulation,1
adulatory,1
adulterate,-1
adulterated,-1
adulteration,-1
advanced,1
advantage,1
advantageous,1
advantages,1
adventure,1
adventuresome,1
adventurism,1
adventurous,1
adversarial,-1
adversary,-1
adverse,-1
adversity,-1
advice,1
advisable,1
advocate,1
advocacy,1
affable,1
affability,1
affably,1
affectation,-1
affection,1
affectionate,1
affinity,1
affirm,1
affirmation,1
affirmative,1
afflict,-1
affliction,-1
afflictive,-1
affluent,1
affluence,1
afford,1
affordable,1
affront,-1
afloat,1
afraid,-1
against,-1
aggravate,-1
aggravating,-1
aggravation,-1
aggression,-1
aggressive,-1
aggressiveness,-1
aggressor,-1
aggrieve,-1
aggrieved,-1
aghast,-1
agile,1
agilely,1
agility,1
agitate,-1
agitated,-1
agitation,-1
agitator,-1
agonies,-1
agonize,-1
agonizing,-1
agonizingly,-1
agony,-1
agree,1
agreeability,1
agreeable,1
agreeable,1
agreeableness,1
agreeably,1
agreement,1
ail,-1
ailment,-1
aimless,-1
airs,-1
alarm,-1
alarmed,-1
alarming,-1
alarmingly,-1
alas,-1
alienate,-1
alienated,-1
alienation,-1
allay,1
allegation,-1
allegations,-1
allege,-1
allergic,-1
alleviate,1
allow,1
allowable,1
allure,1
alluring,1
alluringly,1
ally,1
almighty,1
aloof,-1
altercation,-1
although,-1
altruist,1
altruistic,1
altruistically,1
amaze,1
amazed,1
amazement,1
amazing,1
amazingly,1
ambiguous,-1
ambiguity,-1
ambitious,1
ambitiously,1
ambivalence,-1
ambivalent,-1
ambush,-1
ameliorate,1
amenable,1
amenity,1
amiability,1
amiabily,1
amiable,1
amicability,1
amicable,1
amicably,1
amiss,-1
amity,1
amnesty,1
amour,1
ample,1
amply,1
amputate,-1
amuse,1
amusement,1
amusing,1
amusingly,1
anarchism,-1
anarchist,-1
anarchistic,-1
anarchy,-1
anemic,-1
angel,1
angelic,1
anger,-1
angrily,-1
angriness,-1
angry,-1
anguish,-1
annihilate,-1
annihilation,-1
animated,1
animosity,-1
annoy,-1
annoyance,-1
annoyed,-1
annoying,-1
annoyingly,-1
anomalous,-1
anomaly,-1
antagonism,-1
antagonist,-1
antagonistic,-1
antagonize,-1
anti,-1
antiAmerican,-1
antiIsraeli,-1
antiSemites,-1
antiUS,-1
antioccupation,-1
antiproliferation,-1
antisocial,-1
antiwhite,-1
antipathy,-1
antiquated,-1
antithetical,-1
anxieties,-1
anxiety,-1
anxious,-1
anxiously,-1
anxiousness,-1
apathetic,-1
apathetically,-1
apathy,-1
ape,-1
apocalypse,-1
apocalyptic,-1
apologist,-1
apologists,-1
apostle,1
apotheosis,1
appal,-1
appall,-1
appalled,-1
appalling,-1
appallingly,-1
appeal,1
appealing,1
appease,1
applaud,1
appreciable,1
appreciate,1
appreciation,1
appreciative,1
appreciatively,1
appreciativeness,1
apprehension,-1
apprehensions,-1
apprehensive,-1
apprehensively,-1
appropriate,1
approval,1
approve,1
apt,1
aptly,1
aptitude,1
arbitrary,-1
arcane,-1
archaic,-1
ardent,1
ardently,1
ardor,1
arduous,-1
arduously,-1
aristocratic,1
argue,-1
argument,-1
argumentative,-1
arguments,-1
arousal,1
arouse,1
arousing,1
arresting,1
arrogance,-1
arrogant,-1
arrogantly,-1
articulate,1
artificial,-1
ascendant,1
ascertainable,1
ashamed,-1
asinine,-1
asininely,-1
asinininity,-1
askance,-1
asperse,-1
aspersion,-1
aspersions,-1
aspiration,1
aspirations,1
aspire,1
assail,-1
assassinate,-1
assassin,-1
assault,-1
assent,1
assertions,1
assertive,1
asset,1
assiduous,1
assiduously,1
assuage,1
assurance,1
assurances,1
assure,1
assuredly,1
astonish,1
astonished,1
astonishing,1
astonishingly,1
astonishment,1
astound,1
astounded,1
astounding,1
astoundingly,1
astray,-1
astute,1
astutely,1
asunder,-1
asylum,1
atrocious,-1
atrocities,-1
atrocity,-1
atrophy,-1
attack,-1
attain,1
attainable,1
attentive,1
attest,1
attraction,1
attractive,1
attractively,1
attune,1
audacious,-1
audaciously,-1
audaciousness,-1
audacity,-1
auspicious,1
austere,-1
authentic,1
authoritarian,-1
authoritative,1
autocrat,-1
autocratic,-1
award,1
autonomous,1
avalanche,-1
avarice,-1
avaricious,-1
avariciously,-1
avenge,-1
aver,1
averse,-1
aversion,-1
avid,1
avidly,1
avoid,-1
avoidance,-1
awe,1
awed,1
awesome,1
awesomely,1
awesomeness,1
awestruck,1
awful,-1
awfully,-1
awfulness,-1
awkward,-1
awkwardness,-1
ax,-1
babble,-1
back,1
backbite,-1
backbiting,-1
backbone,1
backward,-1
backwardness,-1
bad,-1
badly,-1
baffle,-1
baffled,-1
bafflement,-1
baffling,-1
bait,-1
balanced,1
balk,-1
banal,-1
banalize,-1
bane,-1
banish,-1
banishment,-1
bankrupt,-1
bar,-1
barbarian,-1
barbaric,-1
barbarically,-1
barbarity,-1
barbarous,-1
barbarously,-1
barely,-1
bargain,1
barren,-1
baseless,-1
bashful,-1
basic,1
bask,1
bastard,-1
battered,-1
battering,-1
battle,-1
battlelines,-1
battlefield,-1
battleground,-1
batty,-1
beacon,1
bearish,-1
beast,-1
beastly,-1
beatify,1
beauteous,1
beautiful,1
beautifully,1
beautify,1
beauty,1
bedlam,-1
bedlamite,-1
befit,1
befitting,1
befoul,-1
befriend,1
beg,-1
beggar,-1
beggarly,-1
begging,-1
beguile,-1
belated,-1
belabor,-1
beleaguer,-1
belie,-1
believable,1
belittle,-1
belittled,-1
belittling,-1
bellicose,-1
belligerence,-1
belligerent,-1
belligerently,-1
beloved,1
bemoan,-1
bemoaning,-1
bemused,-1
benefactor,1
beneficial,1
beneficent,1
beneficial,1
beneficially,1
beneficiary,1
benefit,1
benefits,1
benevolence,1
benevolent,1
benign,1
bent,-1
berate,-1
bereave,-1
bereavement,-1
bereft,-1
berserk,-1
beseech,-1
beset,-1
besiege,-1
besmirch,-1
best,1
bestknown,1
bestperforming,1
bestselling,1
bestial,-1
betray,-1
betrayal,-1
betrayals,-1
betrayer,-1
better,1
better,1
betterknown,1
betterthanexpected,1
bewail,-1
beware,-1
bewilder,-1
bewildered,-1
bewildering,-1
bewilderingly,-1
bewilderment,-1
bewitch,-1
bias,-1
biased,-1
biases,-1
bicker,-1
bickering,-1
bidrigging,-1
bitch,-1
bitchy,-1
biting,-1
bitingly,-1
bitter,-1
bitterly,-1
bitterness,-1
bizarre,-1
blab,-1
blabber,-1
black,-1
blackmail,-1
blah,-1
blame,-1
blameless,1
blameworthy,-1
bland,-1
blandish,-1
blaspheme,-1
blasphemous,-1
blasphemy,-1
blast,-1
blasted,-1
blatant,-1
blatantly,-1
blather,-1
bleak,-1
bleakly,-1
bleakness,-1
bleed,-1
blemish,-1
bless,1
blessing,1
blind,-1
blinding,-1
blindingly,-1
blindness,-1
blindside,-1
bliss,1
blissful,1
blissfully,1
blister,-1
blistering,-1
blithe,1
bloated,-1
block,-1
blockhead,-1
blood,-1
bloodshed,-1
bloodthirsty,-1
bloody,-1
bloom,1
blossom,1
blow,-1
blunder,-1
blundering,-1
blunders,-1
blunt,-1
blur,-1
blurt,-1
boast,1
boast,-1
boastful,-1
boggle,-1
bogus,-1
boil,-1
boiling,-1
boisterous,-1
bold,1
boldly,1
boldness,1
bolster,1
bombard,-1
bomb,-1
bombardment,-1
bombastic,-1
bondage,-1
bonkers,-1
bonny,1
bonus,1
boom,1
booming,1
boost,1
bore,-1
boredom,-1
boring,-1
botch,-1
bother,-1
bothersome,-1
boundless,1
bountiful,1
bowdlerize,-1
boycott,-1
brag,both
braggart,-1
bragger,-1
brains,1
brainwash,-1
brainy,1
brash,-1
brashly,-1
brashness,-1
brat,-1
bravado,-1
brave,1
bravery,1
brazen,-1
brazenly,-1
brazenness,-1
breach,-1
break,-1
breakpoint,-1
breakdown,-1
breakthrough,1
breakthroughs,1
breathlessness,1
breathtaking,1
breathtakingly,1
bright,1
brighten,1
brightness,1
brilliance,1
brilliant,1
brilliantly,1
brimstone,-1
brisk,1
bristle,-1
brittle,-1
broad,1
broke,-1
brokenhearted,-1
brood,-1
brook,1
brotherly,1
browbeat,-1
bruise,-1
brusque,-1
brutal,-1
brutalising,-1
brutalities,-1
brutality,-1
brutalize,-1
brutalizing,-1
brutally,-1
brute,-1
brutish,-1
bug,-1
buckle,-1
bulky,-1
bull,1
bullies,-1
bullish,1
bully,-1
bullyingly,-1
bum,-1
bumpy,-1
bungle,-1
bungler,-1
bunk,-1
buoyant,1
burden,-1
burdensome,-1
burdensomely,-1
burn,-1
busy,-1
busybody,-1
butcher,-1
butchery,-1
byzantine,-1
cackle,-1
cajole,-1
calamities,-1
calamitous,-1
calamitously,-1
calamity,-1
callous,-1
calm,1
calming,1
calmness,1
calumniate,-1
calumniation,-1
calumnies,-1
calumnious,-1
calumniously,-1
calumny,-1
cancer,-1
cancerous,-1
candid,1
candor,1
cannibal,-1
